"","X","links","title","price","area","subarea","name","attrib","condition","cryptocurrency","cylinders","drive","fuel","odometer","paint.color","size","title.status","transmission","type","VIN"
"46",46,"https://chicago.craigslist.org/nch/cto/d/toyota-camry-hybrid-2011/6423933239.html","Toyota Camry hybrid 2011 - cars & trucks - by owner - vehicle automotive sale","$8499","chicago","north chicagoland","2011 toyota camry hybrid","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>hybrid</b></span>, <span>odometer: <b>105</b></span>, <span>paint color: <b>green</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","hybrid",105,"green","full-size","clean","automatic","sedan",NA
"47",47,"https://chicago.craigslist.org/nch/cto/d/toyota-camry-le-1998-runs/6456694156.html","Toyota Camry LE 1998 runs very good - cars & trucks - by owner - vehicle automotive sale","$1700","chicago","north chicagoland","1998 Toyota Camry LE","[<span>condition: <b>good</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>175626</b></span>, <span>paint color: <b>brown</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,NA,NA,"gas",175626,"brown","mid-size","clean","automatic","sedan",NA
"48",48,"https://chicago.craigslist.org/nch/cto/d/toyota-camry-parts-car/6448905287.html","Toyota Camry Parts Car - cars & trucks - by owner - vehicle automotive sale","$1","chicago","north chicagoland","2000 toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>parts only</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"parts only","automatic",NA,NA
"49",49,"https://chicago.craigslist.org/nwc/ctd/d/2009-toyota-camry-hybrid/6455370930.html","2009 Toyota Camry Hybrid SKU:9U110916 Sedan - cars & trucks - by dealer - vehicle automotive sale","$8955","chicago","northwest suburbs","2009 Toyota Camry Hybrid","[<span>VIN: <b>4T1BB46K19U110916</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>hybrid</b></span>, <span>odometer: <b>81388</b></span>, <span>paint color: <b>white</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]",NA,NA,"4 cylinders","fwd","hybrid",81388,"white","mid-size","clean","automatic","sedan","4T1BB46K19U110916"
"50",50,"https://chicago.craigslist.org/nwc/ctd/d/2014-toyota-camrydr-sedan-i4/6455914235.html","2014 Toyota Camry 2014.5 4dr Sedan I4 Automatic SE Sport - cars & trucks - by dealer - vehicle automotive sale",NA,"chicago","northwest suburbs","2014 Toyota_ Camry_","[<span>VIN: <b>4T1BF1FK9EU856396</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>other</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>54294</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"other","fwd","gas",54294,NA,NA,"clean","automatic","sedan","4T1BF1FK9EU856396"
"51",51,"https://chicago.craigslist.org/nwc/cto/d/1997-toyota-camry-v6/6456151141.html","1997 Toyota Camry v6 - cars & trucks - by owner - vehicle automotive sale","$850","chicago","northwest suburbs","1997 Toyota Camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"52",52,"https://chicago.craigslist.org/nwc/cto/d/2000-camry-very-clean-great/6455838140.html","2000 camry very clean great car - cars & trucks - by owner - vehicle automotive sale","$2000","chicago","northwest suburbs","2000 toyota camry","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>202000</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",202000,NA,"full-size","clean","automatic","sedan",NA
"53",53,"https://chicago.craigslist.org/nwc/cto/d/2001-toyota-camrymiles/6456298229.html","2001 Toyota Camry 165000 miles - cars & trucks - by owner - vehicle automotive sale","$2250","chicago","northwest suburbs","2001 toyota camry","[<span>VIN: <b>4t1bf22k71u129506</b></span>, <span>condition: <b>like new</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>164000</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","like new",NA,NA,NA,"gas",164000,NA,NA,"clean","automatic",NA,"4t1bf22k71u129506"
"54",54,"https://chicago.craigslist.org/nwc/cto/d/2006-toyota-camry-solara-sle/6452504902.html","2006 Toyota Camry Solara SLE - cars & trucks - by owner - vehicle automotive sale","$2500","chicago","northwest suburbs","2006 Toyota Camry Solara","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>185000</b></span>, <span>paint color: <b>blue</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>coupe</b></span>]","good",NA,"4 cylinders","fwd","gas",185000,"blue","mid-size","clean","automatic","coupe",NA
"55",55,"https://chicago.craigslist.org/nwc/cto/d/2008-toyota-camry-hybrid-104k/6456274150.html","2008 TOYOTA CAMRY HYBRID ** 104K ** NEW TIRES - cars & trucks - by owner - vehicle automotive sale","$7400","chicago","northwest suburbs","2008 toyota camry hybrid","[<span>VIN: <b>4T1BB46K78U047903</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>104841</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",104841,NA,NA,"clean","automatic",NA,"4T1BB46K78U047903"
"56",56,"https://chicago.craigslist.org/nwc/cto/d/2010-toyota-camry-lesilver-90k/6455332731.html","2010 Toyota Camry LE(SILVER/90K) - cars & trucks - by owner - vehicle automotive sale","$7500","chicago","northwest suburbs","2010 toyota camry le","[<span>VIN: <b>4T1BF3EKXAU082800</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>silver</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",NA,"silver","mid-size","clean","automatic","sedan","4T1BF3EKXAU082800"
"57",57,"https://chicago.craigslist.org/nwc/cto/d/2012-toyota-camry/6455902972.html","2012 TOYOTA CAMRY - cars & trucks - by owner - vehicle automotive sale","$10590","chicago","northwest suburbs","2012 TOYOTA CAMRY","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>75294</b></span>, <span>paint color: <b>red</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","good",NA,"4 cylinders","fwd","gas",75294,"red",NA,"clean","automatic",NA,NA
"58",58,"https://chicago.craigslist.org/nwc/cto/d/toyota-camry-2002-le-clean/6425810648.html","Toyota Camry 2002 LE (CLEAN) Price Reduced!! - cars & trucks - by owner - vehicle automotive sale","$2800","chicago","northwest suburbs","2002 toyota camry Le","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>105000</b></span>, <span>paint color: <b>silver</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",105000,"silver",NA,"clean","automatic","sedan",NA
"59",59,"https://chicago.craigslist.org/nwc/cto/d/toyota-camry-2002-le-clean/6434805524.html","Toyota Camry 2002 LE (CLEAN) Price Reduced!! - cars & trucks - by owner - vehicle automotive sale","$2800","chicago","northwest suburbs","2002 toyota camry","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>105000</b></span>, <span>paint color: <b>silver</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","excellent",NA,"4 cylinders","fwd","gas",105000,"silver",NA,"clean","automatic",NA,NA
"60",60,"https://chicago.craigslist.org/nwc/cto/d/toyota-camry-le-1995/6455678099.html","Toyota Camry LE - 1995 - cars & trucks - by owner - vehicle automotive sale","$1000","chicago","northwest suburbs","1995 Toyota Camry LE","[<span>condition: <b>fair</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>182420</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","fair",NA,"4 cylinders","fwd","gas",182420,NA,NA,"clean","automatic","sedan",NA
"61",61,"https://chicago.craigslist.org/nwc/cto/d/toyota-camry-le/6456670770.html","Toyota Camry LE - cars & trucks - by owner - vehicle automotive sale","$600","chicago","northwest suburbs","1997 toyota camry le","[<span>condition: <b>fair</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>177000</b></span>, <span>paint color: <b>grey</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","fair",NA,"4 cylinders","fwd","gas",177000,"grey",NA,"clean","automatic","sedan",NA
"62",62,"https://chicago.craigslist.org/nwc/cto/d/toyota-camry-lx/6455344393.html","Toyota Camry LX - cars & trucks - by owner - vehicle automotive sale","$1850","chicago","northwest suburbs","1998 Toyota Camry LX","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>158800</b></span>, <span>paint color: <b>brown</b></span>, <span>size: <b>compact</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","fwd","gas",158800,"brown","compact","clean","automatic","sedan",NA
"63",63,"https://chicago.craigslist.org/nwc/cto/d/toyota-camry-lx/6455635761.html","TOYOTA CAMRY LX - cars & trucks - by owner - vehicle automotive sale","$1850","chicago","northwest suburbs","1998 Toyota Camry LX","[<span>condition: <b>good</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>158800</b></span>, <span>paint color: <b>brown</b></span>, <span>size: <b>compact</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"6 cylinders","fwd","gas",158800,"brown","compact","clean","automatic","sedan",NA
"64",64,"https://chicago.craigslist.org/nwc/cto/d/toyota-like-new-2008-camry/6437304581.html","Toyota Like New 2008 Camry For Sale - cars & trucks - by owner - vehicle automotive sale","$6500","chicago","northwest suburbs","2008 toyota camry le","[<span>VIN: <b>4T1BE46K58U209759</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>rwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>109000</b></span>, <span>paint color: <b>black</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","rwd","gas",109000,"black","full-size","clean","automatic","sedan","4T1BE46K58U209759"
"65",65,"https://chicago.craigslist.org/nwi/cto/d/2005-toyota-camry-xle/6454009297.html","2005 Toyota Camry XLE - cars & trucks - by owner - vehicle automotive sale","$2400","chicago","northwest indiana","2005 Toyota Camry XLE","[<span>condition: <b>good</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>165000</b></span>, <span>paint color: <b>silver</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","good",NA,"6 cylinders","fwd","gas",165000,"silver","mid-size","clean","automatic",NA,NA
"66",66,"https://chicago.craigslist.org/nwi/cto/d/toyota-camry-2005-good/6456024409.html","Toyota Camry 2005 Good - cars & trucks - by owner - vehicle automotive sale","$3950","chicago","northwest indiana","2005 toyota camry le","[<span>condition: <b>good</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>158000</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,"4 cylinders","fwd","gas",158000,"grey","full-size","clean","automatic","sedan",NA
"67",67,"https://chicago.craigslist.org/sox/ctd/d/1997-toyota-camry-xle/6456360983.html","1997 Toyota Camry XLE - cars & trucks - by dealer - vehicle automotive sale","$3985","chicago","south chicagoland","1997 toyota camry","[<span>VIN: <b>4T1BF22K0VU025042</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>4wd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>101480</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","4wd","gas",101480,NA,NA,"clean","automatic","sedan","4T1BF22K0VU025042"
"68",68,"https://chicago.craigslist.org/sox/ctd/d/2011-toyota-camry-le-sedan/6456185380.html","2011 Toyota Camry LE - sedan - cars & trucks - by dealer - vehicle automotive sale",NA,"chicago","south chicagoland","2011 Toyota Camry","[<span>VIN: <b>4T1BF3EK9BU587566</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>green</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",NA,"green","mid-size","clean","automatic","sedan","4T1BF3EK9BU587566"
"69",69,"https://chicago.craigslist.org/sox/cto/d/1999-toyota-camry-le/6456377668.html","1999 Toyota Camry LE - cars & trucks - by owner - vehicle automotive sale","$700","chicago","south chicagoland","1999 toyota camry le","[<span>condition: <b>good</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>paint color: <b>blue</b></span>, <span>title status: <b>parts only</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","good",NA,NA,"fwd","gas",NA,"blue",NA,"parts only","automatic","sedan",NA
"70",70,"https://chicago.craigslist.org/sox/cto/d/1999/6455483986.html","1999 - cars & trucks - by owner - vehicle automotive sale","$2000","chicago","south chicagoland","1999 toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"71",71,"https://chicago.craigslist.org/sox/cto/d/2000-toyota-camry-xle-167k/6456709743.html","2000 TOYOTA CAMRY XLE 167k - cars & trucks - by owner - vehicle automotive sale","$1400","chicago","south chicagoland","2000 toyota camry xle","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>167000</b></span>, <span>paint color: <b>black</b></span>, <span>size: <b>compact</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","fwd","gas",167000,"black","compact","clean","automatic","sedan",NA
"72",72,"https://chicago.craigslist.org/sox/cto/d/2000-toyota-camry-xle-167k/6456709865.html","2000 TOYOTA CAMRY XLE 167k - cars & trucks - by owner - vehicle automotive sale","$1400","chicago","south chicagoland","2000 toyota camry xle","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>167000</b></span>, <span>paint color: <b>black</b></span>, <span>size: <b>compact</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","fwd","gas",167000,"black","compact","clean","automatic","sedan",NA
"73",73,"https://chicago.craigslist.org/sox/cto/d/2001-toyota-camry/6456342365.html","2001 Toyota Camry - cars & trucks - by owner - vehicle automotive sale","$3980","chicago","south chicagoland","2001 Toyota Camry","[<span>VIN: <b>4T1BG22K41U819128</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>113159</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",113159,NA,NA,"clean","automatic",NA,"4T1BG22K41U819128"
"74",74,"https://chicago.craigslist.org/sox/cto/d/2009-toyota-camry-hybrid/6455292470.html","2009 Toyota Camry Hybrid - cars & trucks - by owner - vehicle automotive sale","$5900","chicago","south chicagoland","2009 toyota camry hybrid","[<span>condition: <b>good</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>207000</b></span>, <span>paint color: <b>blue</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>other</b></span>, <span>type: <b>sedan</b></span>]","good",NA,NA,"fwd","gas",207000,"blue","full-size","clean","other","sedan",NA
"75",75,"https://chicago.craigslist.org/sox/cto/d/2011-toyota-camry/6456583570.html","2011 Toyota Camry - cars & trucks - by owner - vehicle automotive sale","$6500","chicago","south chicagoland","2011 toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"76",76,"https://chicago.craigslist.org/sox/cto/d/toyota-camry-se/6455472022.html","TOYOTA CAMRY SE - cars & trucks - by owner - vehicle automotive sale","$8900","chicago","south chicagoland","2008 toyota camry","[<span>fuel: <b>gas</b></span>, <span>paint color: <b>red</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,"red",NA,"clean","automatic",NA,NA
"77",77,"https://chicago.craigslist.org/sox/cto/d/toyota-camry/6456609246.html","Toyota camry - cars & trucks - by owner - vehicle automotive sale","$2000","chicago","south chicagoland","1999 Toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"78",78,"https://chicago.craigslist.org/wcl/ctd/d/2000-toyota-camry-ce-1-owner/6456161502.html","2000 Toyota Camry CE - 1 Owner - No credit, bad credit, No problem - cars & trucks - by dealer - vehicle automotive sale","$2400","chicago","west chicagoland","2000 Toyota_ Camry_","[<span>VIN: <b>4T1BG22K4YU958721</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>166457</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",166457,"grey","mid-size","clean","automatic","sedan","4T1BG22K4YU958721"
"79",79,"https://chicago.craigslist.org/wcl/ctd/d/2009-toyota-camry-le/6456012594.html","2009 Toyota Camry LE - cars & trucks - by dealer - vehicle automotive sale","$5999","chicago","west chicagoland","2009 toyota camry le","[<span>VIN: <b>4T4BE46KX9R050454</b></span>, <span>condition: <b>like new</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>132572</b></span>, <span>paint color: <b>silver</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","like new",NA,"4 cylinders","fwd","gas",132572,"silver","full-size","clean","automatic","sedan","4T4BE46KX9R050454"
"80",80,"https://chicago.craigslist.org/wcl/ctd/d/2011-toyota-camry-xle/6456015350.html","2011 Toyota Camry XLE - cars & trucks - by dealer - vehicle automotive sale","$9300","chicago","west chicagoland","2011 toyota camry xle","[<span>VIN: <b>4T1BK3EK3BU610836</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>6 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>90653</b></span>, <span>paint color: <b>green</b></span>, <span>size: <b>full-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"6 cylinders","fwd","gas",90653,"green","full-size","clean","automatic","sedan","4T1BK3EK3BU610836"
"81",81,"https://chicago.craigslist.org/wcl/ctd/d/2012-toyota-camry-hybrid-xle/6456250082.html","2012 TOYOTA CAMRY HYBRID XLE - cars & trucks - by dealer - vehicle automotive sale","$11877","chicago","west chicagoland","2012 TOYOTA CAMRY HYBRID XLE","[<span>VIN: <b>4T1BD1FKXCU020633</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>hybrid</b></span>, <span>odometer: <b>112707</b></span>, <span>paint color: <b>white</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","excellent",NA,"4 cylinders","fwd","hybrid",112707,"white","mid-size","clean","automatic",NA,"4T1BD1FKXCU020633"
"82",82,"https://chicago.craigslist.org/wcl/ctd/d/2013-toyota-camry-le-62k/6456160734.html","2013 Toyota Camry LE - 62k miles - 2 Owner Clean carfax - cars & trucks - by dealer - vehicle automotive sale","$10500","chicago","west chicagoland","2013 Toyota_ Camry_","[<span>VIN: <b>4T4BF1FK9DR297100</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>62628</b></span>, <span>paint color: <b>grey</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",62628,"grey","mid-size","clean","automatic","sedan","4T4BF1FK9DR297100"
"83",83,"https://chicago.craigslist.org/wcl/ctd/d/2016-toyota-camry-le-52k/6456158471.html","2016 Toyota Camry LE - 52k - Toyota Warranty - Clean Carfax - cars & trucks - by dealer - vehicle automotive sale","$12900","chicago","west chicagoland","2016 Toyota_ Camry_","[<span>VIN: <b>4T4BF1FK2GR530870</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>52482</b></span>, <span>paint color: <b>black</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",52482,"black","mid-size","clean","automatic","sedan","4T4BF1FK2GR530870"
"84",84,"https://chicago.craigslist.org/wcl/cto/d/04-camry/6455283644.html","04 camry - cars & trucks - by owner - vehicle automotive sale","$3300","chicago","west chicagoland","2004 Toyota camry","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"85",85,"https://chicago.craigslist.org/wcl/cto/d/07-toyota-camry-le/6455688579.html","07 TOYOTA CAMRY LE - cars & trucks - by owner - vehicle automotive sale","$4500","chicago","west chicagoland","2007 Toyota Camry","[<span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>160</b></span>, <span>paint color: <b>blue</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",160,"blue",NA,"clean","automatic","sedan",NA
"86",86,"https://chicago.craigslist.org/wcl/cto/d/1-owner-2004-toyota-camry-le/6450582823.html","1 Owner 2004 Toyota Camry LE 4 cylinder sedan 105k miles - cars & trucks - by owner - vehicle automotive sale","$4400","chicago","west chicagoland","2004 toyota camry le 4dr sedan","[<span>VIN: <b>4t1be32k94u867420</b></span>, <span>condition: <b>excellent</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>drive: <b>fwd</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>105000</b></span>, <span>paint color: <b>silver</b></span>, <span>size: <b>mid-size</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>, <span>type: <b>sedan</b></span>]","excellent",NA,"4 cylinders","fwd","gas",105000,"silver","mid-size","clean","automatic","sedan","4t1be32k94u867420"
"87",87,"https://chicago.craigslist.org/wcl/cto/d/10-camry-with-just-100xxx/6456770231.html","'10 CAMRY with just 100XXX highway miles! - cars & trucks - by owner - vehicle automotive sale","$2074","chicago","west chicagoland","2010 TOYOTA CAMRY","[<span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,NA,NA,"gas",NA,NA,NA,"clean","automatic",NA,NA
"88",88,"https://chicago.craigslist.org/wcl/cto/d/2000-toyota-camry-22l/6455658344.html","2000 TOYOTA CAMRY 2.2L - cars & trucks - by owner - vehicle automotive sale","$800","chicago","west chicagoland","2000 TOYOTA CAMRY","[<span>VIN: <b>2T1CG22P8YC397036</b></span>, <span>cylinders: <b>4 cylinders</b></span>, <span>fuel: <b>gas</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]",NA,NA,"4 cylinders",NA,"gas",NA,NA,NA,"clean","automatic",NA,"2T1CG22P8YC397036"
"89",89,"https://chicago.craigslist.org/wcl/cto/d/2002-toyota-camry-solara/6455382356.html","2002 Toyota Camry Solara SLE 77,734 miles - cars & trucks - by owner - vehicle automotive sale","$5985","chicago","west chicagoland","2002 Toyota Camry Solara","[<span>condition: <b>excellent</b></span>, <span>fuel: <b>gas</b></span>, <span>odometer: <b>77734</b></span>, <span>title status: <b>clean</b></span>, <span>transmission: <b>automatic</b></span>]","excellent",NA,NA,NA,"gas",77734,NA,NA,"clean","automatic",NA,NA
